Objects (id: bounding-box centroid area mean-color):
  0: 336x14+0+0 163.8,6.6 4476 gray(255)
  47: 6x8+292+0 294.0,3.0 31 gray(0)
  41: 4x8+261+0 262.4,3.8 28 gray(255)
  112: 6x6+251+2 253.4,4.4 28 gray(255)
  29: 8x8+191+0 194.7,3.3 24 gray(0)
  141: 4x5+211+3 212.4,4.9 19 gray(255)
  144: 4x5+219+3 220.4,4.9 19 gray(255)
  155: 4x5+321+3 322.4,4.9 19 gray(255)
  138: 4x5+203+3 204.4,4.9 19 gray(255)
  28: 5x8+171+0 172.5,3.8 19 gray(0)
  82: 3x8+269+1 270.0,4.5 12 gray(0)
  135: 6x4+180+3 182.6,4.1 10 gray(0)
